BIOCHEMICAL,SUPERPATH,SUBPATH,KEGG,RH127O_1,RH127O_2,RH127O_3,RH127O_4,RH127O_5,PLT_32B_1,PLT_32B_2,PLT_32B_3,PLT_32B_4,PLT_32B_5,VPI_1,VPI_2,VPI_3,VPI_4,SMC7758_1,SMC7758_2,SMC7758_3,SMC7758_4,SMC7758_5,MEM_1,MEM_2,MEM_3,MEM_4,MEM_5
X - 18887,,,,0.4389,0.2529,0.2466,0.7292,1.5583,0.4288,0.2802,0.5956,1,0.8195,2.154,4.4456,2.3842,3.6265,2.9164,0.2466,2.0801,1.6919,3.6799,0.2466,0.2466,0.2466,0.2466,0.2466
X - 21286,,,,0.7426,0.4585,0.7972,2.3635,0.7396,1.3145,1.3784,2.0837,0.9288,2.4143,0.4233,0.2168,0.738,0.8745,2.1592,1.5872,0.6266,0.2168,0.2168,3.0017,2.8066,2.3472,2.731,2.3984
X - 21796,,,,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0294,0.0455,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291
X - 23481,,,,3.2248,2.3458,2.3675,13.4603,3.1758,9.1059,9.9764,12.5497,4.0549,11.8306,3.0689,1.0342,2.8417,3.4115,14.0949,5.9321,4.9457,5.7655,5.9385,13.1527,11.882,12.6574,11.7815,12.5433
X - 23775,,,,0.4743,0.3653,0.2938,0.4335,0.8139,0.5242,2.9987,1.4001,1.4359,1.2589,0.8246,1.1754,1.6619,1.4144,1.2985,2.3903,0.4127,0.7805,1.5253,0.2926,0.2926,0.2926,0.2926,0.2926
X - 24089,,,,1.6685,1.1359,0.9791,3.0057,1.8477,2.3702,1.5932,3.3549,2.2814,3.4117,1.1587,1.56,1.3227,1.9624,3.0309,2.7637,1.5145,1.9974,1.9954,4.4887,4.105,4.3984,4.5559,4.245
X - 24425,,,,0.9775,0.6571,0.6473,1.9271,0.9543,1.1309,1.4193,2.01,1.0714,1.8772,1.3188,1.3379,1.605,1.7399,3.0647,1.6363,2.8497,2.9664,2.3676,1.5263,1.3205,1.4825,1.5132,1.5411
X - 24456,,,,1.4196,0.9478,0.914,2.9072,1.568,1.9538,1.1706,2.7128,1.6739,3.6317,0.9456,1.0172,1.2754,1.2764,2.0932,2.2705,1.5921,1.8036,1.4729,3.314,2.8903,3.5939,3.5787,3.5389
X - 24573,,,,2.3618,2.2058,1.5618,3.6834,2.3892,4.4195,4.386,5.2415,3.3118,5.9157,1.0673,0.3859,0.7342,0.912,7.9785,4.1055,4.5521,5.1688,5.0849,5.7858,5.3062,4.9966,5.2297,5.6458
X - 24608,,,,7.8073,4.774,5.1421,10.0768,6.7861,2.4452,3.6562,2.9445,7.6589,3.5617,4.6963,0.9423,4.8451,5.7868,3.7311,2.7558,10.7133,10.7232,9.6747,0.7024,0.7059,0.5575,0.7227,0.5344
